#Run	 SB0 	'+/- 	 SB1 	'+/- 	 lt_HI 	'+/- 	 lt_BGO 	'+/- 	 SB0start/s 	'+/- 	 SB0end/s 	'+/-  	 SB1start/s 	'+/- 	 SB1end/s 	'+/- 
23086	5001	70.7177	5023	70.8731	0.999601	0.0199721	1.00621	0.00144532	0.0166667	0.0166667	83.3333	1.17851	0	0	83.3333	1.17851
23087	5005	70.746	5028	70.9084	0.9998	0.0199731	1.00735	0.00142744	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23088	5073	71.225	5040	70.993	0.999604	0.0199047	1.00576	0.00149071	0	0	0	0	0.0166667	0.0166667	0	0
23089	5000	70.7107	5000	70.7107	1	0.02	1.00622	0.0110376	0	0	83.3333	1.17851	0	0	0	0
23090	5000	70.7107	5001	70.7177	0.906446	0.0042435	0.944024	0.00548947	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23091	5000	70.7107	5000	70.7107	0.962567	0.0109665	0.989132	0.00851362	0	0	83.3333	1.17851	0	0	0	0
23092	5000	70.7107	5001	70.7177	0.947689	0.00747513	0.980708	0.00657071	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23093	160874	401.091	127233	356.697	0.958049	0.00745757	0.980572	0.0071599	1343.42	4.73184	1334.53	4.71617	1018.58	4.12024	1045.18	4.17369
23094	4466719	2113.46	3525100	1877.52	0.946236	0.0014803	0.979171	0.00134781	1312.52	4.6771	1373.55	4.78461	1002.55	4.08768	1081.4	4.24539
23095	4416891	2101.64	3482066	1866.03	0.942821	0.00147231	0.97858	0.0012821	1430	4.88194	1411.3	4.84991	1075.72	4.23422	1118.85	4.31828
23096	4397190	2096.95	3465061	1861.47	0.944174	0.00147704	0.978979	0.00132209	1371.25	4.7806	1315.62	4.68262	1044.75	4.17283	1035.93	4.15518
23097	4314517	2077.14	3409243	1846.41	0.94768	0.00148724	0.979303	0.00140819	1322.27	4.69444	1217.7	4.505	1014.37	4.1117	965.033	4.01047
23098	506524	711.705	402536	634.457	0.955681	0.00453364	0.985239	0.00395695	1193.72	4.46041	1237.83	4.54209	916.667	3.90868	996.283	4.07489
23099	46159	214.846	37557	193.796	0.965067	0.0120007	0.986993	0.0116174	685.983	3.38128	767.467	3.57647	542.617	3.00726	624.167	3.22533
23100	4562718	2136.05	3608932	1899.72	0.943681	0.00146918	0.978566	0.00130718	1361.22	4.76308	1358.07	4.75757	1038.43	4.16019	1073.8	4.23045
23101	3541513	1881.89	2804087	1674.54	0.942845	0.00168771	0.98584	0.0012508	1367.08	4.77333	1395.27	4.82229	1037.58	4.15849	1102.23	4.28609
23102	21813	147.692	18654	136.58	0.982291	0.0155286	1.00798	0.00427129	243.1	2.01288	0	0	196.733	1.81077	0	0
23103	4638841	2153.8	3678232	1917.87	0.94298	0.00147663	0.977961	0.00126363	1409.6	4.84699	1355.22	4.75257	1074.78	4.23238	1116.35	4.31345
23104	4545861	2132.1	3600087	1897.39	0.943407	0.00148397	0.978376	0.00127522	1380.77	4.79716	1333.2	4.71381	1059.78	4.20274	1069.03	4.22105
23105	4521142	2126.3	3582454	1892.74	0.943056	0.00148236	0.978113	0.00125742	1373.75	4.78496	1375.78	4.7885	1044.4	4.17213	1088.02	4.25836
23106	4526687	2127.6	3584968	1893.4	0.947315	0.00148164	0.977423	0.0013889	1343.13	4.73134	1378.15	4.79262	1030.52	4.14431	1098.72	4.27925
23107	2069123	1438.44	1637184	1279.52	0.944154	0.00217522	0.979999	0.00185791	1369.85	4.77816	1341	4.72758	1050.5	4.1843	1055.17	4.19358
23108	537730	733.301	426725	653.242	0.945125	0.00441051	0.982367	0.00344399	1339.37	4.7247	1398.7	4.82822	1024.42	4.13202	1118.67	4.31792
23109	4603615	2145.6	3637298	1907.17	0.941341	0.00153038	0.981459	0.00117253	1368.3	4.77546	1377.48	4.79146	1046.73	4.17679	1086.83	4.25604
23110	2884143	1698.28	2280344	1510.08	0.944639	0.00193436	0.990751	0.00127924	1388.38	4.81038	1376.3	4.7894	1050.18	4.18367	802.95	3.65821
23111	5001	70.7177	5029	70.9154	1	0.019992	1.00793	0.00139158	0	0	83.3333	1.17851	0	0	83.3333	1.17851
23112	728860	853.733	581393	762.491	0.963217	0.003838	1.00121	0.00146879	0	0	0	0	0.0166667	0.0166667	0.0166667	0.0166667
23113	2763905	1662.5	2209026	1486.28	0.955881	0.00198967	0.990516	0.00146508	0	0	674.25	3.35224	0.0166667	0.0166667	736.533	3.50365
23114	4190337	2047.03	3347691	1829.67	0.953918	0.00162141	0.979921	0.00144193	1250.73	4.56569	1298.93	4.65284	966.733	4.014	1037.03	4.15739
23115	4272826	2067.08	3413225	1847.49	0.953774	0.00160343	0.981133	0.0014437	1292.2	4.64076	1310.13	4.67285	990.85	4.06376	1048.13	4.17958
23116	4213191	2052.61	3366883	1834.91	0.952463	0.00161032	0.980361	0.00140411	1297.87	4.65093	1305.33	4.66429	996.133	4.07458	1045.77	4.17486
23117	458088	676.822	366882	605.708	0.954623	0.00477724	0.979785	0.00435127	1322.57	4.69497	1329.15	4.70664	1019.85	4.1228	1052.12	4.18751
23118	4293533	2072.08	3436162	1853.69	0.949588	0.00158243	0.981816	0.00133762	1322.27	4.69444	1288.82	4.63468	1017.18	4.11741	1031.98	4.14725
23119	1628906	1276.29	1298102	1139.34	0.95241	0.0025728	0.985589	0.00209265	1253.3	4.57038	1258.77	4.58033	975.317	4.03178	996.833	4.07601
23120	18328	135.381	15352	123.903	0.992254	0.0165354	1.00285	0.0154394	222.133	1.92412	296.533	2.22311	172.533	1.69575	215.617	1.89568
23121	4517192	2125.37	3577909	1891.54	0.967421	0.00149824	1.00575	0.00129363	1364.55	4.76891	1362.63	4.76556	1049.02	4.18134	1074.6	4.23202
23122	4479311	2116.44	3545263	1882.89	0.967807	0.00150902	1.00576	0.00129351	1348.57	4.7409	1348.05	4.73999	1036.45	4.15622	1061.38	4.20592
23123	5000	70.7107	5004	70.739	0.999242	0.0194514	1.02769	0.0031514	0	0	83.3333	1.17851	0.0166667	0.0166667	83.3333	1.17851
23124	126794	356.081	100799	317.489	0.986309	0.0084912	1.02601	0.0010575	0	0	0	0	0.0333333	0.0235702	0.0166667	0.0166667
23125	5000	70.7107	5002	70.7248	0.906885	0.00499149	0.984079	0.0066028	0	0	83.3333	1.17851	0.0166667	0.0166667	83.3333	1.17851
23126	498294	705.899	394998	628.489	0.966142	0.00438751	1.00066	0.00442008	1499.8	4.99967	1497.75	4.99625	1145.72	4.36981	1184.9	4.44391
23127	4963280	2227.84	3917718	1979.32	0.963947	0.00141391	1.00027	0.00142768	1503.58	5.00597	1435.9	4.892	1144.1	4.36673	1139.75	4.35842
23128	4726040	2173.95	3736409	1932.98	0.963544	0.00143567	1.0005	0.001431	1427.95	4.87844	1389.15	4.8117	1093.55	4.26917	1088.55	4.2594
23129	423234	650.564	335839	579.516	0.955251	0.00403874	0.994047	0.00461529	1398.8	4.82839	1366.98	4.77316	1067.3	4.21762	1084.97	4.25238
23130	5115652	2261.78	4038745	2009.66	0.951852	0.00119843	0.992588	0.00136201	1522.23	5.03692	1531.38	5.05203	1159.43	4.39589	1211.07	4.49271
23131	4939733	2222.55	3903672	1975.77	0.952046	0.0012442	0.996395	0.00130318	1463.05	4.93803	1519.43	5.03228	1120.05	4.32059	1203.6	4.47884
23132	1312767	1145.76	1037687	1018.67	0.934796	0.00257174	0.974293	0.00243761	1536.32	5.06017	1540.17	5.0665	1173.98	4.42339	1228.93	4.52573
