#run	Ein	Eout	pressure	before	after	targetTrans	+/-	sepTrans	+/-	CSF	+/-
23242	282.9	259.5	6.74	4.71E-007	5.12E-007	0.94	0.01	0.99	0.02	0.15	0.1
23243	282.9	259.5	6.73	5.00E-007	5.16E-007	0.94	0.01	0.99	0.02	0.15	0.1
23244	282.9	259.5	6.73	5.32E-007	5.23E-007	0.94	0.01	0.99	0.02	0.15	0.1
23245	282.9	259.5	6.9	5.29E-007	5.50E-007	0.94	0.01	0.99	0.02	0.15	0.1
23246	282.9	259.5	6.96	5.46E-007	5.36E-007	0.94	0.01	0.99	0.02	0.15	0.1
23247	282.9	259.5	6.91	5.46E-007	5.68E-007	0.94	0.01	0.99	0.02	0.15	0.1
23248	282.9	259.5	6.87	5.80E-007	6.00E-007	0.94	0.01	0.99	0.02	0.15	0.1
23249	282.9	259.5	6.84	6.12E-007	6.35E-007	0.94	0.01	0.99	0.02	0.15	0.1
23250	282.9	259.5	6.83	4.54E-008	6.48E-007	0.94	0.01	0.99	0.02	0.15	0.1
23251	282.9	259.5	6.83	6.48E-007	6.49E-007	0.94	0.01	0.99	0.02	0.15	0.1
23252	282.9	259.5	6.77	6.54E-007	6.45E-007	0.94	0.01	0.99	0.02	0.15	0.1
23253	282.9	259.5	6.78	6.50E-007	6.47E-007	0.94	0.01	0.99	0.02	0.15	0.1
23254	282.9	259.5	6.78	6.45E-007	6.49E-007	0.94	0.01	0.99	0.02	0.15	0.1
23255	282.9	259.5	6.76	6.50E-007	6.40E-007	0.94	0.01	0.99	0.02	0.15	0.1
23256	282.9	259.5	6.76	6.41E-007	6.40E-007	0.94	0.01	0.99	0.02	0.15	0.1
23257	282.9	259.5	6.76	6.28E-007	6.53E-007	0.94	0.01	0.99	0.02	0.15	0.1
23258	282.9	259.5	6.76	6.54E-007	6.43E-007	0.94	0.01	0.99	0.02	0.15	0.1
23259	282.9	259.5	6.75	6.44E-007	6.42E-007	0.94	0.01	0.99	0.02	0.15	0.1
23260	282.9	259.5	6.76	6.39E-007	6.23E-007	0.94	0.01	0.99	0.02	0.15	0.1
23261	282.9	259.5	6.76	6.19E-007	6.36E-007	0.94	0.01	0.99	0.02	0.15	0.1
23262	282.9	259.5	6.76	6.32E-007	6.20E-007	0.94	0.01	0.99	0.02	0.15	0.1
23263	282.9	259.5	6.76	6.12E-007	5.85E-007	0.94	0.01	0.99	0.02	0.15	0.1
23264	282.9	259.5	6.77	5.81E-007	5.92E-007	0.94	0.01	0.99	0.02	0.15	0.1
23265	282.9	259.5	6.77	5.90E-007	5.73E-007	0.94	0.01	0.99	0.02	0.15	0.1
23266	282.9	259.5	6.76	5.78E-007	5.80E-007	0.94	0.01	0.99	0.02	0.15	0.1
23267	282.9	259.5	6.76	5.74E-007	5.87E-007	0.94	0.01	0.99	0.02	0.15	0.1
23268	282.9	259.5	6.76	5.79E-007	5.81E-007	0.94	0.01	0.99	0.02	0.15	0.1
23269	282.9	259.5	6.77	5.81E-007	5.87E-007	0.94	0.01	0.99	0.02	0.15	0.1
23270	282.9	259.5	6.77	5.94E-007	nan	0.94	0.01	0.99	0.02	0.15	0.1

